PACIFIC Exchange Rate Service
Jul.Day	YYYY/MM/DD	Wdy	USD/EUR	CNY/EUR
2456903	2014/09/02	Tue	1.3124	8.0687
2456904	2014/09/03	Wed	1.3135	8.0644
2456905	2014/09/04	Thu	1.2926	7.9333
2456906	2014/09/05	Fri	1.2956	7.9577
2456909	2014/09/08	Mon	1.2948	7.9528
2456910	2014/09/09	Tue	1.2909	7.9192
2456911	2014/09/10	Wed	1.2907	7.9127
2456912	2014/09/11	Thu	1.2936	7.9283
2456913	2014/09/12	Fri	1.2954	7.9490
2456916	2014/09/15	Mon	1.2950	7.9550
2456917	2014/09/16	Tue	1.2977	7.9765
2456918	2014/09/17	Wed	1.2958	7.9552
2456919	2014/09/18	Thu	1.2913	7.9276
2456920	2014/09/19	Fri	1.2835	7.8830
2456923	2014/09/22	Mon	1.2829	7.8762
2456924	2014/09/23	Tue	1.2858	7.8918
2456925	2014/09/24	Wed	1.2787	7.8478
2456926	2014/09/25	Thu	1.2748	7.8221
2456927	2014/09/26	Fri	1.2685	7.7728
2456930	2014/09/29	Mon	1.2704	7.8140
2456931	2014/09/30	Tue	1.2628	7.7508
2456932	2014/10/01	Wed	1.2617	7.7440
2456933	2014/10/02	Thu	1.2670	7.7755
2456934	2014/10/03	Fri	1.2516	7.6816
2456937	2014/10/06	Mon	1.2592	7.7319
2456938	2014/10/07	Tue	1.2626	7.7529
2456939	2014/10/08	Wed	1.2683	7.7880
2456940	2014/10/09	Thu	1.2683	7.7735
2456941	2014/10/10	Fri	1.2635	7.7466
2456945	2014/10/14	Tue	1.2660	7.7563
2456946	2014/10/15	Wed	1.2779	7.8275
2456947	2014/10/16	Thu	1.2811	7.8440
2456948	2014/10/17	Fri	1.2754	7.8095
2456951	2014/10/20	Mon	1.2783	7.8257
2456952	2014/10/21	Tue	1.2724	7.7878
2456953	2014/10/22	Wed	1.2658	7.7432
2456954	2014/10/23	Thu	1.2657	7.7467
2456955	2014/10/24	Fri	1.2675	7.7534
2456958	2014/10/27	Mon	1.2712	7.7743
2456959	2014/10/28	Tue	1.2747	7.7949
2456960	2014/10/29	Wed	1.2761	7.7997
2456961	2014/10/30	Thu	1.2621	7.7155
2456962	2014/10/31	Fri	1.2529	7.6569
2456965	2014/11/03	Mon	1.2487	7.6405
2456966	2014/11/04	Tue	1.2553	7.6754
2456967	2014/11/05	Wed	1.2488	7.6346
2456968	2014/11/06	Thu	1.2412	7.5864
2456969	2014/11/07	Fri	1.2422	7.6070
2456972	2014/11/10	Mon	1.2426	7.6036
2456974	2014/11/12	Wed	1.2456	7.6303
2456975	2014/11/13	Thu	1.2477	7.6422
2456976	2014/11/14	Fri	1.2493	7.6560
2456979	2014/11/17	Mon	1.2446	7.6241
2456980	2014/11/18	Tue	1.2533	7.6714
2456981	2014/11/19	Wed	1.2548	7.6776
2456982	2014/11/20	Thu	1.2525	7.6708
2456983	2014/11/21	Fri	1.2393	7.5896
2456986	2014/11/24	Mon	1.2427	7.6320
2456987	2014/11/25	Tue	1.2471	7.6534
2456988	2014/11/26	Wed	1.2503	7.6765
2456989	2014/11/27	Thu	1.2476	7.6593
2456990	2014/11/28	Fri	1.2438	7.6414
2456993	2014/12/01	Mon	1.2489	7.6833
2456994	2014/12/02	Tue	1.2390	7.6187
2456995	2014/12/03	Wed	1.2304	7.5674
2456996	2014/12/04	Thu	1.2431	7.6504
2456997	2014/12/05	Fri	1.2303	7.5681
2457000	2014/12/08	Mon	1.2291	7.5888
2457001	2014/12/09	Tue	1.2415	7.6815
2457002	2014/12/10	Wed	1.2425	7.6740
2457003	2014/12/11	Thu	1.2397	7.6717
2457004	2014/12/12	Fri	1.2483	7.7239
2457007	2014/12/15	Mon	1.2469	7.7174
2457008	2014/12/16	Tue	1.2502	7.7391
2457009	2014/12/17	Wed	1.2407	7.6867
2457010	2014/12/18	Thu	1.2292	7.6372
2457011	2014/12/19	Fri	1.2233	7.6075
2457014	2014/12/22	Mon	1.2251	7.6237
2457015	2014/12/23	Tue	1.2180	7.5814
2457016	2014/12/24	Wed	1.2188	7.5876
2457021	2014/12/29	Mon	1.2178	7.5794
2457022	2014/12/30	Tue	1.2173	7.5751
2457023	2014/12/31	Wed	1.2101	7.5110
2457025	2015/01/02	Fri	1.2013	7.4545
2457028	2015/01/05	Mon	1.1918	7.4132
2457029	2015/01/06	Tue	1.1936	7.4153
2457030	2015/01/07	Wed	1.1820	7.3456
2457031	2015/01/08	Thu	1.1810	7.3382
2457032	2015/01/09	Fri	1.1829	7.3434
2457035	2015/01/12	Mon	1.1832	7.3401
2457036	2015/01/13	Tue	1.1778	7.2988
2457037	2015/01/14	Wed	1.1806	7.3150
2457038	2015/01/15	Thu	1.1596	7.1763
2457039	2015/01/16	Fri	1.1517	7.1486
2457042	2015/01/19	Mon	1.1622	7.2282
2457043	2015/01/20	Tue	1.1558	7.1815
2457044	2015/01/21	Wed	1.1583	7.1953
2457045	2015/01/22	Thu	1.1413	7.0843
2457046	2015/01/23	Fri	1.1279	7.0261
2457049	2015/01/26	Mon	1.1289	7.0620
2457050	2015/01/27	Tue	1.1369	7.0971
2457051	2015/01/28	Wed	1.1341	7.0853
2457052	2015/01/29	Thu	1.1308	7.0642
2457053	2015/01/30	Fri	1.1290	7.0550
2457056	2015/02/02	Mon	1.1336	7.0971
2457057	2015/02/03	Tue	1.1461	7.1739
2457058	2015/02/04	Wed	1.1418	7.1324
2457059	2015/02/05	Thu	1.1432	7.1469
2457060	2015/02/06	Fri	1.1330	7.0733
2457063	2015/02/09	Mon	1.1316	7.0677
2457064	2015/02/10	Tue	1.1315	7.0633
2457065	2015/02/11	Wed	1.1295	7.0509
2457066	2015/02/12	Thu	1.1408	7.1227
2457067	2015/02/13	Fri	1.1407	7.1183
2457071	2015/02/17	Tue	1.1395	7.1271
2457072	2015/02/18	Wed	1.1341	7.0944
2457073	2015/02/19	Thu	1.1392	7.1263
2457074	2015/02/20	Fri	1.1371	7.1136
2457077	2015/02/23	Mon	1.1344	7.0965
2457078	2015/02/24	Tue	1.1305	7.0710
2457079	2015/02/25	Wed	1.1362	7.1124
2457080	2015/02/26	Thu	1.1211	7.0155
2457081	2015/02/27	Fri	1.1198	7.0205
2457084	2015/03/02	Mon	1.1189	7.0195
2457085	2015/03/03	Tue	1.1212	7.0332
2457086	2015/03/04	Wed	1.1069	6.9405
2457087	2015/03/05	Thu	1.1005	6.8956
2457088	2015/03/06	Fri	1.0854	6.7955
2457091	2015/03/09	Mon	1.0845	6.7941
2457092	2015/03/10	Tue	1.0707	6.7060
2457093	2015/03/11	Wed	1.0574	6.6227
2457094	2015/03/12	Thu	1.0615	6.6458
2457095	2015/03/13	Fri	1.0523	6.5883
2457098	2015/03/16	Mon	1.0574	6.6232
2457099	2015/03/17	Tue	1.0605	6.6280
2457100	2015/03/18	Wed	1.0642	6.6298
2457101	2015/03/19	Thu	1.0621	6.5800
2457102	2015/03/20	Fri	1.0791	6.6951
2457105	2015/03/23	Mon	1.0927	6.7905
2457106	2015/03/24	Tue	1.0906	6.7679
2457107	2015/03/25	Wed	1.0986	6.8257
2457108	2015/03/26	Thu	1.0918	6.7809
2457109	2015/03/27	Fri	1.0891	6.7693
2457112	2015/03/30	Mon	1.0817	6.7153
2457113	2015/03/31	Tue	1.0741	6.6584
2457114	2015/04/01	Wed	1.0767	6.6727
2457115	2015/04/02	Thu	1.0876	6.7390
2457119	2015/04/06	Mon	1.1006	6.8184
2457120	2015/04/07	Tue	1.0850	6.7241
2457121	2015/04/08	Wed	1.0818	6.7085
2457122	2015/04/09	Thu	1.0670	6.6221
2457123	2015/04/10	Fri	1.0597	6.5781
2457126	2015/04/13	Mon	1.0581	6.5782
2457127	2015/04/14	Tue	1.0673	6.6292
2457128	2015/04/15	Wed	1.0596	6.5749
2457129	2015/04/16	Thu	1.0741	6.6553
2457130	2015/04/17	Fri	1.0780	6.6817
2457133	2015/04/20	Mon	1.0763	6.6743
2457134	2015/04/21	Tue	1.0757	6.6716
2457135	2015/04/22	Wed	1.0727	6.6436
2457136	2015/04/23	Thu	1.0802	6.6944
2457137	2015/04/24	Fri	1.0875	6.7368
2457140	2015/04/27	Mon	1.0891	6.7749
2457141	2015/04/28	Tue	1.0978	6.8096
2457142	2015/04/29	Wed	1.1173	6.9274
2457143	2015/04/30	Thu	1.1162	6.9227
2457144	2015/05/01	Fri	1.1194	6.9420
2457147	2015/05/04	Mon	1.1145	6.9185
2457148	2015/05/05	Tue	1.1174	6.9345
2457149	2015/05/06	Wed	1.1346	7.0341
2457150	2015/05/07	Thu	1.1283	7.0020
2457151	2015/05/08	Fri	1.1239	6.9779
2457154	2015/05/11	Mon	1.1142	6.9200
2457155	2015/05/12	Tue	1.1238	6.9762
2457156	2015/05/13	Wed	1.1372	7.0566
2457157	2015/05/14	Thu	1.1368	7.0486
2457158	2015/05/15	Fri	1.1428	7.0930
2457162	2015/05/19	Tue	1.1150	6.9217
2457163	2015/05/20	Wed	1.1079	6.8715
2457164	2015/05/21	Thu	1.1126	6.8944
2457165	2015/05/22	Fri	1.1033	6.8366
2457168	2015/05/25	Mon	1.0971	6.8039
2457169	2015/05/26	Tue	1.0876	6.7460
2457170	2015/05/27	Wed	1.0886	6.7516
2457171	2015/05/28	Thu	1.0913	6.7674
2457172	2015/05/29	Fri	1.0995	6.8150
2457175	2015/06/01	Mon	1.0912	6.7663
2457176	2015/06/02	Tue	1.1129	6.8987
2457177	2015/06/03	Wed	1.1283	6.9915
2457178	2015/06/04	Thu	1.1270	6.9891
2457179	2015/06/05	Fri	1.1108	6.8917
2457182	2015/06/08	Mon	1.1231	6.9691
2457183	2015/06/09	Tue	1.1281	7.0000
2457184	2015/06/10	Wed	1.1307	7.0157
2457185	2015/06/11	Thu	1.1237	6.9743
2457186	2015/06/12	Fri	1.1278	7.0010
2457189	2015/06/15	Mon	1.1266	6.9940
2457190	2015/06/16	Tue	1.1237	6.9763
2457191	2015/06/17	Wed	1.1230	6.9738
2457192	2015/06/18	Thu	1.1403	7.0778
2457193	2015/06/19	Fri	1.1335	7.0400
2457196	2015/06/22	Mon	1.1380	7.0662
2457197	2015/06/23	Tue	1.1188	6.9446
2457198	2015/06/24	Wed	1.1178	6.9385
2457199	2015/06/25	Thu	1.1194	6.9522
2457200	2015/06/26	Fri	1.1155	6.9276
2457203	2015/06/29	Mon	1.1180	6.9423
2457204	2015/06/30	Tue	1.1152	6.9140
2457206	2015/07/02	Thu	1.1090	6.8820
2457207	2015/07/03	Fri	1.1096	6.8850
2457210	2015/07/06	Mon	1.1075	6.8780
2457211	2015/07/07	Tue	1.0951	6.7992
2457212	2015/07/08	Wed	1.1072	6.8746
2457213	2015/07/09	Thu	1.1024	6.8449
2457214	2015/07/10	Fri	1.1150	6.9224
2457217	2015/07/13	Mon	1.1019	6.8400
2457218	2015/07/14	Tue	1.1015	6.8397
2457219	2015/07/15	Wed	1.0964	6.8061
2457220	2015/07/16	Thu	1.0897	6.7658
2457221	2015/07/17	Fri	1.0848	6.7367
2457224	2015/07/20	Mon	1.0850	6.7360
2457225	2015/07/21	Tue	1.0927	6.7858
2457226	2015/07/22	Wed	1.0884	6.7574
2457227	2015/07/23	Thu	1.0975	6.8160
2457228	2015/07/24	Fri	1.0976	6.8160
2457231	2015/07/27	Mon	1.1112	6.9002
2457232	2015/07/28	Tue	1.1055	6.8641
2457233	2015/07/29	Wed	1.1024	6.8431
2457234	2015/07/30	Thu	1.0914	6.7765
2457235	2015/07/31	Fri	1.1028	6.8482
2457239	2015/08/04	Tue	1.0953	6.8004
2457240	2015/08/05	Wed	1.0868	6.7485
2457241	2015/08/06	Thu	1.0921	6.7814
2457242	2015/08/07	Fri	1.0956	6.8036
2457245	2015/08/10	Mon	1.0994	6.8255
2457246	2015/08/11	Tue	1.1040	6.9822
2457247	2015/08/12	Wed	1.1197	7.1521
2457248	2015/08/13	Thu	1.1145	7.1306
2457249	2015/08/14	Fri	1.1109	7.1007
2457252	2015/08/17	Mon	1.1076	7.0830
2457253	2015/08/18	Tue	1.1026	7.0484
2457254	2015/08/19	Wed	1.1060	7.0753
2457255	2015/08/20	Thu	1.1199	7.1558
2457256	2015/08/21	Fri	1.1356	7.2556
2457259	2015/08/24	Mon	1.1578	7.4154
2457260	2015/08/25	Tue	1.1410	7.3184
2457261	2015/08/26	Wed	1.1388	7.3012
2457262	2015/08/27	Thu	1.1236	7.1981
2457263	2015/08/28	Fri	1.1171	7.1367
2457266	2015/08/31	Mon	1.1193	7.1365
2457267	2015/09/01	Tue	1.1263	7.1676
2457268	2015/09/02	Wed	1.1240	7.1452
2457269	2015/09/03	Thu	1.1102	7.0554
2457270	2015/09/04	Fri	1.1117	7.0666
2457274	2015/09/08	Tue	1.1181	7.1202
2457275	2015/09/09	Wed	1.1165	7.1216
2457276	2015/09/10	Thu	1.1263	7.1819
2457277	2015/09/11	Fri	1.1336	7.2252
2457280	2015/09/14	Mon	1.1306	7.1991
2457281	2015/09/15	Tue	1.1259	7.1724
2457282	2015/09/16	Wed	1.1303	7.2026
2457283	2015/09/17	Thu	1.1311	7.2018
2457284	2015/09/18	Fri	1.1358	7.2275
2457287	2015/09/21	Mon	1.1204	7.1370
2457288	2015/09/22	Tue	1.1131	7.0989
2457289	2015/09/23	Wed	1.1160	7.1237
2457290	2015/09/24	Thu	1.1252	7.1812
2457291	2015/09/25	Fri	1.1190	7.1310
2457294	2015/09/28	Mon	1.1234	7.1544
2457295	2015/09/29	Tue	1.1244	7.1546
2457296	2015/09/30	Wed	1.1162	7.0959
2457297	2015/10/01	Thu	1.1200	7.1200
2457298	2015/10/02	Fri	1.1275	7.1664
2457301	2015/10/05	Mon	1.1198	7.1166
2457302	2015/10/06	Tue	1.1265	7.1607
2457303	2015/10/07	Wed	1.1247	7.1487
2457304	2015/10/08	Thu	1.1284	7.1689
2457305	2015/10/09	Fri	1.1363	7.2113
2457309	2015/10/13	Tue	1.1381	7.2163
2457310	2015/10/14	Wed	1.1436	7.2597
2457311	2015/10/15	Thu	1.1417	7.2464
2457312	2015/10/16	Fri	1.1359	7.2156
2457315	2015/10/19	Mon	1.1317	7.1967
2457316	2015/10/20	Tue	1.1359	7.2099
2457317	2015/10/21	Wed	1.1344	7.2018
2457318	2015/10/22	Thu	1.1141	7.0816
2457319	2015/10/23	Fri	1.1017	6.9937
2457322	2015/10/26	Mon	1.1050	7.0213
2457323	2015/10/27	Tue	1.1051	7.0216
2457324	2015/10/28	Wed	1.1063	7.0339
2457325	2015/10/29	Thu	1.0960	6.9662
2457326	2015/10/30	Fri	1.1042	6.9754
2457329	2015/11/02	Mon	1.1024	6.9874
2457330	2015/11/03	Tue	1.0945	6.9367
2457331	2015/11/04	Wed	1.0859	6.8792
2457332	2015/11/05	Thu	1.0869	6.8969
2457333	2015/11/06	Fri	1.0745	6.8253
2457336	2015/11/09	Mon	1.0767	6.8486
2457337	2015/11/10	Tue	1.0686	6.7985
2457339	2015/11/12	Thu	1.0767	6.8588
2457340	2015/11/13	Fri	1.0721	6.8322
2457343	2015/11/16	Mon	1.0707	6.8211
2457344	2015/11/17	Tue	1.0634	6.7827
2457345	2015/11/18	Wed	1.0638	6.7934
2457346	2015/11/19	Thu	1.0746	6.8609
2457347	2015/11/20	Fri	1.0659	6.8057
2457350	2015/11/23	Mon	1.0601	6.7719
2457351	2015/11/24	Tue	1.0652	6.8056
2457352	2015/11/25	Wed	1.0616	6.7819
2457353	2015/11/26	Thu	1.0607	6.7757
2457354	2015/11/27	Fri	1.0595	6.7760
2457357	2015/11/30	Mon	1.0561	6.7567
2457358	2015/12/01	Tue	1.0618	6.7933
2457359	2015/12/02	Wed	1.0573	6.7653
2457360	2015/12/03	Thu	1.0900	6.9723
2457361	2015/12/04	Fri	1.0884	6.9665
2457364	2015/12/07	Mon	1.0840	6.9464
2457365	2015/12/08	Tue	1.0875	6.9792
2457366	2015/12/09	Wed	1.0983	7.0596
2457367	2015/12/10	Thu	1.0947	7.0488
2457368	2015/12/11	Fri	1.1001	7.1004
2457371	2015/12/14	Mon	1.1024	7.1209
2457372	2015/12/15	Tue	1.0909	7.0475
2457373	2015/12/16	Wed	1.0937	7.0783
2457374	2015/12/17	Thu	1.0805	7.0042
2457375	2015/12/18	Fri	1.0846	7.0289
2457378	2015/12/21	Mon	1.0919	7.0755
2457379	2015/12/22	Tue	1.0976	7.1112
2457380	2015/12/23	Wed	1.0874	7.0430
2457381	2015/12/24	Thu	1.0953	7.0964
2457386	2015/12/29	Tue	1.0916	7.0782
2457387	2015/12/30	Wed	1.0912	7.0827
2457388	2015/12/31	Thu	1.0859	7.0526
2457392	2016/01/04	Mon	1.0803	7.0618
2457393	2016/01/05	Tue	1.0742	7.0074
2457394	2016/01/06	Wed	1.0761	7.0559
2457395	2016/01/07	Thu	1.0860	7.1589
2457396	2016/01/08	Fri	1.0885	7.1809
2457399	2016/01/11	Mon	1.0877	7.1466
2457400	2016/01/12	Tue	1.0835	7.1228
2457401	2016/01/13	Wed	1.0862	7.1417
2457402	2016/01/14	Thu	1.0862	7.1582
2457403	2016/01/15	Fri	1.0964	7.2203
2457406	2016/01/18	Mon	1.0885	7.1615
2457407	2016/01/19	Tue	1.0905	7.1745
2457408	2016/01/20	Wed	1.0907	7.1740
2457409	2016/01/21	Thu	1.0833	7.1266
2457410	2016/01/22	Fri	1.0813	7.1134
2457413	2016/01/25	Mon	1.0831	7.1265
2457414	2016/01/26	Tue	1.0845	7.1395
2457415	2016/01/27	Wed	1.0867	7.1480
2457416	2016/01/28	Thu	1.0953	7.2028
2457417	2016/01/29	Fri	1.0832	7.1233
2457420	2016/02/01	Mon	1.0888	7.1630
2457421	2016/02/02	Tue	1.0908	7.1767
2457422	2016/02/03	Wed	1.1053	7.2703
2457423	2016/02/04	Thu	1.1198	7.3510
2457424	2016/02/05	Fri	1.1130	7.3160
2457427	2016/02/08	Mon	1.1169	7.3409
2457428	2016/02/09	Tue	1.1317	7.4405
2457429	2016/02/10	Wed	1.1223	7.3769
2457430	2016/02/11	Thu	1.1362	7.4691
2457431	2016/02/12	Fri	1.1234	7.3834
2457435	2016/02/16	Tue	1.1139	7.2586
2457436	2016/02/17	Wed	1.1140	7.2729
2457437	2016/02/18	Thu	1.1092	7.2299
2457438	2016/02/19	Fri	1.1126	7.2566
2457441	2016/02/22	Mon	1.1017	7.1864
2457442	2016/02/23	Tue	1.1015	7.1898
2457443	2016/02/24	Wed	1.1021	7.1973
2457444	2016/02/25	Thu	1.1026	7.2031
2457445	2016/02/26	Fri	1.0931	7.1502
2457448	2016/02/29	Mon	1.0867	7.1236
2457449	2016/03/01	Tue	1.0847	7.1080
2457450	2016/03/02	Wed	1.0844	7.1036
2457451	2016/03/03	Thu	1.0947	7.1486
2457452	2016/03/04	Fri	1.1009	7.1624
2457455	2016/03/07	Mon	1.1004	7.1710
2457456	2016/03/08	Tue	1.1026	7.1735
2457457	2016/03/09	Wed	1.1021	7.1786
2457458	2016/03/10	Thu	1.1158	7.2613
2457459	2016/03/11	Fri	1.1178	7.2590
2457462	2016/03/14	Mon	1.1106	7.2191
2457463	2016/03/15	Tue	1.1112	7.2379
2457464	2016/03/16	Wed	1.1075	7.2221
2457465	2016/03/17	Thu	1.1316	7.3282
2457466	2016/03/18	Fri	1.1292	7.3076
2457469	2016/03/21	Mon	1.1260	7.3032
